순번,이름,나이,성별,지역,직업,교육수준,소득분위,결혼상태,관심사,가치관,라이프스타일,성격특성,미디어소비,쇼핑습관,사회적관계
1,가상인물_540124492,37,남성,강원,임업,초졸,40-60%,기혼,"독서, 영화/드라마, IT/기술, 봉사활동, 여행, 요리","경험 중시, 사회적 기여, 성공, 사회적 가치, 개성 표현, 재테크 관심, 건강, 환경 보호, 워라밸",신혼부부군,ISFJ,웹툰/웹소설 소비,미지정,"집단주의적 성향, 체면 중시, 가족 중심 문화"
2,가상인물_115375063,63,여성,인천,취업준비생,고졸,40-60%,미혼,"게임, 운동, 요리","사회적 기여, 가족, 안정 추구, 공동체 의식, 건강, 환경 보호, 가족 중시, 전통 존중, 희생, 재물",액티브시니어족,ISFJ,SNS 활발,미지정,"정 문화, 체면 중시, 가족 중심 문화"
3,가상인물_515095941,49,여성,대전,사무직,고졸,60-80%,미혼,"IT/기술, 운동, 독서, 반려동물, 영화/드라마, 여행","사회적 기여, 합리성, 가족, 명예, 안정, 환경 보호, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",나혼산족,INFJ,SNS 활발,미지정,가족 중심 문화
4,가상인물_415696493,51,남성,서울,공무원,대졸,20-40%,미혼,"운동, 게임, 요리","합리성, 자유, 환경 보호, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",나혼산족,INTJ,웹툰/웹소설 소비,미지정,"정 문화, 집단주의적 성향, 체면 중시"
5,가상인물_315684498,43,여성,경기,교사,고졸,상위 20%,기혼,"운동, IT/기술, 영화/드라마, 여행","경험 중시, 사회적 가치, 개성 표현, 명예, 재테크 관심, 워라밸, 개인 성장, 재물",중고등자녀보유군,ESFJ,뉴스 앱/포털 이용,미지정,"가족 중심 문화, 선후배 관계 중시"
6,가상인물_156141199,79,여성,경기,기타 무직,대졸,상위 20%,미혼,"패션/뷰티, 독서, 여행, 재테크, 반려동물, 봉사활동","성공, 자유, 안정 추구, 공동체 의식, 환경 보호, 가족 중시, 전통 존중, 희생, 재물",액티브시니어족,INFJ,유튜브/OTT 시청,미지정,"정 문화, 체면 중시, 가족 중심 문화"
7,가상인물_101109406,55,여성,서울,"전문직(의사, 변호사 등)",대졸,하위 20%,미혼,"반려동물, 운동, 패션/뷰티, 음악, 독서, IT/기술","사회적 기여, 합리성, 자유, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 재물",나혼산족,INFJ,유튜브/OTT 시청,미지정,집단주의적 성향
8,가상인물_961703561,63,남성,경기,은퇴자,대졸,상위 20%,기혼,"재테크, 영화/드라마, IT/기술, 요리, 운동, 여행","사회적 기여, 성공, 안정 추구, 공동체 의식, 건강, 가족 중시, 희생, 전통 존중, 개인 성장",액티브시니어족,ESTJ,SNS 활발,미지정,집단주의적 성향
9,가상인물_599561438,46,여성,울산,육아휴직중,대학원졸,20-40%,기혼,"재테크, 패션/뷰티, 게임","사회적 기여, 성공, 합리성, 안정, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장, 재물",영아자녀보유군,ISFJ,웹툰/웹소설 소비,미지정,"체면 중시, 정 문화"
10,가상인물_587261495,46,여성,경북,공무원,대졸,40-60%,미혼,"요리, IT/기술, 봉사활동, 영화/드라마, 독서, 여행","사회적 기여, 성공, 합리성, 가족, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",나혼산족,INFJ,유튜브/OTT 시청,미지정,"가족 중심 문화, 선후배 관계 중시"
